Origin	Destination
ZRH	MSP
ATL	SFO
ATL	LAX
ATL	MCO
ATL	IAH
ATL	DFW
ATL	SAN
ATL	LGA
ATL	LAS
ATL	JFK
ATL	DCA
ATL	JAX
ATL	PIT
ATL	MSP
ATL	MEM
ATL	PNS
ATL	SMF
ATL	BHM
ATL	CVG
ATL	CLT
ATL	TYS
ATL	BNA
ATL	DAY
ATL	EWR
ATL	ORD
ATL	MSY
ATL	JAN
ATL	SAV
ATL	DAB
ATL	AUS
ATL	DTW
ATL	PBI
ATL	IND
ATL	CHS
ATL	BDL
ATL	RDU
ATL	RSW
ATL	CMH
ATL	MKE
ATL	PVD
ATL	PDX
ATL	SRQ
ATL	SDF
ATL	STL
ATL	SYR
ATL	MOB
ATL	HNL
ATL	TPA
ATL	BOS
ATL	SAT
ATL	MCI
ATL	GSO
ATL	LEX
ATL	SLC
ATL	ORF
ATL	PHX
ATL	DEN
ATL	ABQ
ATL	TUS
ATL	RIC
ATL	IAD
ATL	SEA
ATL	CAE
ATL	SNA
ATL	OKC
ATL	OMA
ATL	GSP
ATL	HOU
ATL	LIT
ATL	BWI
ATL	FLL
ATL	CLE
ATL	HSV
ATL	PHL
ATL	TLH
ATL	SJC
ATL	MIA
ATL	MLB
ATL	ALB
ATL	COS
ATL	ELP
ATL	ATW
ATW	MSP
ATW	DTW
ATW	ATL
AUS	ATL
AUS	MSP
SJC	ATL
SJC	SEA
SJC	SLC
SJC	LAX
SJC	LAS
SLC	JFK
SLC	SEA
SLC	DTW
SLC	LAX
SLC	LAS
SLC	PHX
SLC	ATL
SLC	SNA
SLC	PDX
SLC	MSP
SLC	PHL
SLC	GEG
SLC	HNL
SLC	BWI
SLC	BOI
SLC	MCO
SLC	OAK
SLC	STL
SLC	CVG
SLC	BOS
SLC	IND
SLC	ONT
SLC	MSY
SLC	DFW
SLC	SJC
SLC	SAN
SLC	EWR
SLC	SMF
SLC	MCI
SLC	ORD
SLC	DCA
SLC	SFO
SLC	AUS
SLC	OKC
SLC	COS
SLC	BNA
SLC	JAC
SLC	IAH
SLC	ABQ
SLC	DEN
SLC	BZN
SLC	FCA
SLC	TUS
SLC	SAT
SLC	OMA
SMF	ATL
SMF	SLC
SMF	MSP
SMF	LAX
SMF	SEA
SNA	MSP
SNA	SLC
SNA	ATL
SNA	SEA
SRQ	ATL
STL	MSP
STL	DTW
STL	ATL
STL	SLC
STL	CVG
SYR	ATL
SYR	DTW
SYR	JFK
SYR	LGA
TLH	ATL
TPA	DTW
TPA	ATL
TPA	LGA
TPA	JFK
TPA	CVG
TPA	LAX
TPA	MSP
DTW	MKE
DTW	EWR
DTW	RDU
DTW	MIA
DTW	MEM
DTW	PHX
DTW	PBI
DTW	CLE
DTW	RIC
DTW	AUS
DTW	OKC
DTW	IAH
DTW	SDF
DTW	SYR
DTW	IAD
DTW	DAY
DTW	ALB
DTW	ATW
DTW	GSP
DTW	CVG
DTW	PVD
DTW	LEX
DTW	OMA
DTW	HSV
DTW	ORF
DTW	TYS
DTW	BHM
DTW	ATL
DTW	LGA
DTW	CMH
DTW	PIT
DTW	IND
DTW	DCA
DTW	BWI
DTW	MDW
DTW	GSO
DTW	CHS
DTW	GRB
DTW	SAT
DTW	LIT
DTW	SAV
ELP	ATL
EWR	ATL
EWR	MSP
EWR	DTW
EWR	SLC
EWR	CVG
FCA	SLC
FCA	MSP
FLL	JFK
FLL	MSP
FLL	ATL
FLL	LGA
FLL	DTW
FLL	CVG
GEG	SLC
GEG	MSP
GEG	SEA
GRB	MSP
GRB	DTW
GSO	ATL
GSO	DTW
GSO	LGA
GSP	ATL
GSP	DTW
GSP	LGA
HNL	ATL
HNL	SLC
HNL	LAX
HNL	SEA
HNL	OGG
HNL	KOA
HNL	LIH
HOU	ATL
HSV	ATL
HSV	DTW
IAD	ATL
IAD	DTW
IAD	JFK
IAD	MSP
IAH	ATL
IAH	MSP
IAH	SLC
IAH	CVG
IAH	DTW
AUS	JFK
AUS	SLC
AUS	DTW
BDL	ATL
BDL	DTW
BDL	MSP
BDL	CVG
BHM	ATL
BHM	DTW
BHM	LGA
BNA	DTW
BNA	ATL
BNA	MSP
BNA	JFK
BNA	SLC
BNA	LGA
BOI	SLC
BOI	MSP
BOI	SEA
BOS	DTW
BOS	MSP
BOS	JFK
BOS	CVG
BOS	ATL
BOS	SLC
BOS	MCO
BOS	LGA
BOS	PHL
BOS	CMH
BOS	IND
BOS	RDU
BOS	SEA
BOS	LAX
BWI	DTW
BWI	SLC
BWI	MSP
BWI	ATL
BWI	JFK
BWI	CVG
BZN	MSP
BZN	SLC
CAE	ATL
CAE	LGA
CHS	ATL
CHS	DTW
CHS	LGA
CLE	ATL
CLE	MSP
CLE	DTW
CLE	LGA
CLE	JFK
CLT	ATL
CLT	DTW
CLT	MSP
CLT	JFK
CLT	CVG
CMH	ATL
CMH	LAX
CMH	MSP
CMH	DTW
CMH	LGA
CMH	JFK
CMH	BOS
COS	ATL
COS	SLC
CVG	ATL
CVG	LGA
CVG	MCO
CVG	BOS
CVG	FLL
CVG	LAX
CVG	DEN
CVG	TPA
CVG	SFO
CVG	SLC
CVG	SEA
CVG	RSW
CVG	LAS
IND	DTW
IND	ATL
IND	LAX
IND	MSP
IND	SLC
IND	LGA
IND	JFK
IND	RDU
IND	BOS
JAC	SLC
JAN	ATL
JAX	ATL
JAX	DTW
JAX	LGA
JAX	MSP
JFK	MCO
JFK	SFO
JFK	ATL
JFK	LAX
JFK	MIA
JFK	DTW
JFK	SLC
JFK	LAS
JFK	SEA
JFK	FLL
JFK	PHX
JFK	SAN
JFK	DEN
JFK	BOS
JFK	MSP
JFK	DCA
JFK	PDX
JFK	TPA
JFK	PIT
